Date,Group,Mouse (number of tail stripes),Dimensions on left (mm x mm x mm),Dimensions on right (mm x mm x mm)
3/15/24,EV,1,0 x 0,0 x 0
3/15/24,EV,2,0 x 0,0 x 0
3/15/24,EV,3,0 x 0,0 x 0
3/15/24,EV,4,0 x 0,0 x 0
3/15/24,EV,5,0 x 0,0 x 0
3/15/24,CD4,1,0 x 0,0 x 0
3/15/24,CD4,2,2.33 x 2.04,0 x 0
3/15/24,CD4,3,2.20 x 2.10,0 x 0
3/15/24,CD4,4,2.00 x 1.88,1.44 x 1.46
3/15/24,CD4,5,0 x 0,0 x 0
3/15/24,dC1,1,0 x 0,0 x 0
3/15/24,dC1,2,0 x 0,0 x 0
3/15/24,dC1,3,0 x 0,0 x 0
3/15/24,dC1,4,0 x 0,0 x 0
3/15/24,dC1,5,0 x 0,0 x 0
3/18/24,EV,1,0 x 0 x 0,0 x 0 x 0
3/18/24,EV,2,0 x 0 x 0,0 x 0 x 0
3/18/24,EV,3,0 x 0 x 0,0 x 0 x 0
3/18/24,EV,4,0 x 0 x 0,0 x 0 x 0
3/18/24,EV,5,0 x 0 x 0,0 x 0 x 0
3/18/24,CD4,1,0 x 0 x 0,0 x 0 x 0
3/18/24,CD4,2,3.3 x 2.7 x 2.0,0 x 0 x 0
3/18/24,CD4,3,3.3 x 3.8 x 3.3,0 x 0 x 0
3/18/24,CD4,4,4.3 x 3.0 x 3.0,4.2 x 3.9 x 2.6
3/18/24,CD4,5,0 x 0 x 0,5.4 x 3.2 x 2.5
3/18/24,dC1,1,0 x 0 x 0,0 x 0 x 0
3/18/24,dC1,2,0 x 0 x 0,0 x 0 x 0
3/18/24,dC1,3,0 x 0 x 0,0 x 0 x 0
3/18/24,dC1,4,0 x 0 x 0,0 x 0 x 0
3/18/24,dC1,5,0 x 0 x 0,0 x 0 x 0
3/20/24,EV,1,0 x 0 x 0,0 x 0 x 0
3/20/24,EV,2,0 x 0 x 0,0 x 0 x 0
3/20/24,EV,3,0 x 0 x 0,0 x 0 x 0
3/20/24,EV,4,0 x 0 x 0,0 x 0 x 0
3/20/24,EV,5,0 x 0 x 0,0 x 0 x 0
3/20/24,CD4,1,0 x 0 x 0,6.2 x 5.4 x 5.0
3/20/24,CD4,2,5.9 x 5.4 x 4.3,0 x 0 x 0
3/20/24,CD4,3,6.1 x 4.8 x 3.6,0 x 0 x 0
3/20/24,CD4,4,7.1 x 5.0 x 5.3,4.9 x 3.8 x 3.0
3/20/24,CD4,5,5.9 x 2.5 x 3.2,5.7 x 3.7 x 2.6
3/20/24,dC1,1,0 x 0 x 0,0 x 0 x 0
3/20/24,dC1,2,0 x 0 x 0,0 x 0 x 0
3/20/24,dC1,3,0 x 0 x 0,0 x 0 x 0
3/20/24,dC1,4,0 x 0 x 0,0 x 0 x 0
3/20/24,dC1,5,0 x 0 x 0,0 x 0 x 0
3/22/24,EV,1,0 x 0 x 0,0 x 0 x 0
3/22/24,EV,2,0 x 0 x 0,0 x 0 x 0
3/22/24,EV,3,0 x 0 x 0,0 x 0 x 0
3/22/24,EV,4,0 x 0 x 0,0 x 0 x 0
3/22/24,EV,5,0 x 0 x 0,0 x 0 x 0
3/22/24,CD4,1,4.6 x 4.5 x 3.8,8.0 x 6.7 x 4.6
3/22/24,CD4,2,5.5 x 4.7 x 3.8,6.2 x 5.6 x 4.1
3/22/24,CD4,3,5.9 x 5.4 x 4.3,6.5 x 5.5 x 3.4
3/22/24,CD4,4,6.5 x 5.0 x 3.7,5.5 x 4.3 x 3.6
3/22/24,CD4,5,5.6 x 4.6 x 2.8,5.9 x 3.6 x 3.4
3/22/24,dC1,1,0 x 0 x 0,0 x 0 x 0
3/22/24,dC1,2,0 x 0 x 0,0 x 0 x 0
3/22/24,dC1,3,0 x 0 x 0,0 x 0 x 0
3/22/24,dC1,4,0 x 0 x 0,0 x 0 x 0
3/22/24,dC1,5,0 x 0 x 0,0 x 0 x 0
3/25/24,EV,1,0 x 0 x 0,0 x 0 x 0
3/25/24,EV,2,0 x 0 x 0,0 x 0 x 0
3/25/24,EV,3,0 x 0 x 0,0 x 0 x 0
3/25/24,EV,4,0 x 0 x 0,0 x 0 x 0
3/25/24,EV,5,0 x 0 x 0,0 x 0 x 0
3/25/24,CD4,1,6.9 x 5 x 3.7,9.7 x 6.5 x 5.7
